               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.08744,            0.070318,            0.041648,            0.031607,             0.66667,            0.040435,            0.010683,            0.063543,             0.07128,            0.040083,          0.00028816,          0.00028816,            0.094388
                  60,            0.095435,            0.054359,            0.042076,            0.031665,             0.66667,            0.045043,            0.011546,            0.062813,             0.07147,             0.04003,          0.00028584,          0.00028584,            0.094286
                  61,            0.088668,            0.072436,            0.041498,            0.031402,             0.66667,            0.049951,             0.01274,            0.062536,            0.071427,            0.039961,          0.00028335,          0.00028335,            0.094183
                  62,            0.086882,            0.065554,            0.040768,            0.030599,              0.6699,            0.053947,            0.015674,            0.062182,             0.07142,            0.039909,          0.00028071,          0.00028071,            0.094081
                  63,            0.089785,            0.069297,            0.041883,            0.038984,                 0.5,            0.063511,            0.019413,            0.062018,            0.071297,            0.039849,          0.00027792,          0.00027792,            0.093978
                  64,            0.081937,            0.068666,            0.040996,            0.048677,             0.66667,            0.067277,             0.02109,             0.06204,             0.07106,            0.039804,            0.000275,            0.000275,            0.093875
                  65,            0.083743,            0.070179,            0.041588,            0.052313,             0.66667,            0.072592,            0.021625,            0.062008,            0.070869,            0.039741,          0.00027196,          0.00027196,            0.093772
                  66,            0.080492,            0.057024,            0.041874,            0.049863,             0.66667,            0.076757,            0.022811,            0.061906,            0.070733,            0.039682,          0.00026882,          0.00026882,            0.093669
                  67,            0.092468,             0.06168,            0.042635,            0.053116,                 0.5,            0.083726,              0.0263,            0.061795,             0.07061,            0.039623,          0.00026558,          0.00026558,            0.093566
                  68,            0.076663,            0.060092,            0.041386,            0.056326,             0.83333,            0.092887,            0.029738,            0.061506,            0.070568,            0.039559,          0.00026226,          0.00026226,            0.093462
                  69,            0.085237,            0.064736,            0.040112,            0.059503,             0.56919,             0.09336,            0.029797,             0.06127,            0.070462,             0.03952,          0.00025886,          0.00025886,            0.093359
                  70,            0.087534,            0.047116,            0.041057,            0.075789,             0.49703,            0.097254,            0.031741,            0.060993,             0.07044,            0.039458,          0.00025542,          0.00025542,            0.093255
                  71,               0.084,            0.068213,            0.040348,            0.072655,                 0.5,             0.10011,            0.032054,            0.060821,            0.070371,            0.039391,          0.00025193,          0.00025193,            0.093152
                  72,            0.085051,            0.061622,            0.041278,            0.079115,             0.83333,             0.10452,            0.032503,            0.060698,            0.070267,            0.039351,          0.00024842,          0.00024842,            0.093048
                  73,            0.082334,            0.069246,            0.039881,            0.074828,             0.83333,             0.11678,            0.037704,            0.060715,            0.070076,            0.039305,           0.0002449,           0.0002449,            0.092945
                  74,            0.080852,            0.079001,            0.041144,             0.09533,                 0.5,             0.14548,            0.043591,            0.060703,            0.069886,            0.039255,          0.00024137,          0.00024137,            0.092841
                  75,            0.089096,            0.058959,            0.041629,             0.10168,                 0.5,             0.14779,            0.043868,            0.060627,            0.069732,            0.039212,          0.00023787,          0.00023787,            0.092738
                  76,            0.086229,            0.074119,            0.041268,             0.10434,             0.83333,             0.14937,            0.045207,            0.060723,            0.069507,            0.039142,          0.00023439,          0.00023439,            0.092634
                  77,            0.087509,            0.066422,            0.041367,              0.1435,             0.49093,             0.15285,            0.042894,            0.060857,            0.069258,            0.039095,          0.00023097,          0.00023097,            0.092531
                  78,            0.079101,            0.077445,            0.041114,             0.13209,                 0.5,              0.1749,            0.053145,            0.060805,            0.069087,            0.039031,           0.0002276,           0.0002276,            0.092428
                  79,            0.076385,            0.048651,            0.039918,             0.12667,                 0.5,             0.17044,            0.060017,            0.060199,            0.069197,            0.039003,          0.00022431,          0.00022431,            0.092324
                  80,            0.077067,            0.044623,             0.04021,             0.13518,             0.77983,             0.19704,            0.063006,            0.059727,            0.069286,            0.038955,          0.00022111,          0.00022111,            0.092221
